r,l,t,m,y,RateOfActivity
REGION1,SEA1N,DEMAGRGWTBC1,1,2034,0.5183
REGION1,SEA2D,DEMAGRGWTBC1,1,2034,0.5183
REGION1,SEA2N,DEMAGRGWTBC1,1,2034,0.5183
REGION1,SEA3D,DEMAGRGWTBC1,1,2034,0.5183
REGION1,SEA3N,DEMAGRGWTBC1,1,2034,0.5183
REGION1,SEA4D,DEMAGRGWTBC1,1,2034,0.5183
REGION1,SEA4N,DEMAGRGWTBC1,1,2034,0.5183
REGION1,SEA1D,DEMAGRGWTBC1,1,2035,0.5277
REGION1,SEA1N,DEMAGRGWTBC1,1,2035,0.5277
REGION1,SEA2D,DEMAGRGWTBC1,1,2035,0.5277
REGION1,SEA2N,DEMAGRGWTBC1,1,2035,0.5277
REGION1,SEA3D,DEMAGRGWTBC1,1,2035,0.5277
REGION1,SEA3N,DEMAGRGWTBC1,1,2035,0.5277
REGION1,SEA4D,DEMAGRGWTBC1,1,2035,0.5277
REGION1,SEA4N,DEMAGRGWTBC1,1,2035,0.5277
REGION1,SEA1D,DEMAGRGWTBC1,1,2036,0.5373
REGION1,SEA1N,DEMAGRGWTBC1,1,2036,0.5373
REGION1,SEA2D,DEMAGRGWTBC1,1,2036,0.5373
REGION1,SEA2N,DEMAGRGWTBC1,1,2036,0.5373
REGION1,SEA3D,DEMAGRGWTBC1,1,2036,0.5373
REGION1,SEA3N,DEMAGRGWTBC1,1,2036,0.5373
REGION1,SEA4D,DEMAGRGWTBC1,1,2036,0.5373
REGION1,SEA4N,DEMAGRGWTBC1,1,2036,0.5373
REGION1,SEA1D,DEMAGRGWTBC1,1,2037,0.5452
REGION1,SEA1N,DEMAGRGWTBC1,1,2037,0.5452
REGION1,SEA2D,DEMAGRGWTBC1,1,2037,0.5452
REGION1,SEA2N,DEMAGRGWTBC1,1,2037,0.5452
REGION1,SEA3D,DEMAGRGWTBC1,1,2037,0.5452
REGION1,SEA3N,DEMAGRGWTBC1,1,2037,0.5452
REGION1,SEA4D,DEMAGRGWTBC1,1,2037,0.5452
REGION1,SEA4N,DEMAGRGWTBC1,1,2037,0.5452
REGION1,SEA1D,DEMAGRGWTBC1,1,2038,0.5512
REGION1,SEA1N,DEMAGRGWTBC1,1,2038,0.5512
REGION1,SEA2D,DEMAGRGWTBC1,1,2038,0.5512
