r,t,y,DiscountedTechnologyEmissionsPenalty
REGION1,DEMRESNGS,2045,252.0045
REGION1,DEMRESNGS,2046,241.6213
REGION1,DEMRESNGS,2047,231.6578
REGION1,DEMRESNGS,2048,222.0932
REGION1,DEMRESNGS,2049,212.9162
REGION1,DEMRESNGS,2050,204.1077
REGION1,DEMTRADSL,2020,302.8825
REGION1,DEMTRADSL,2021,284.8687
REGION1,DEMTRADSL,2022,296.7528
REGION1,DEMTRADSL,2023,362.5507
REGION1,DEMTRADSL,2024,420.7536
REGION1,DEMTRADSL,2025,473.6213
REGION1,DEMTRADSL,2026,521.0591
REGION1,DEMTRADSL,2027,563.1906
REGION1,DEMTRADSL,2028,596.7348
REGION1,DEMTRADSL,2029,625.3988
REGION1,DEMTRADSL,2030,650.2725
REGION1,DEMTRADSL,2031,616.125
REGION1,DEMTRADSL,2032,581.5626
REGION1,DEMTRADSL,2033,550.3687
REGION1,DEMTRADSL,2034,520.3006
REGION1,DEMTRADSL,2035,491.7923
REGION1,DEMTRADSL,2036,461.8485
REGION1,DEMTRADSL,2037,436.7233
REGION1,DEMTRADSL,2038,413.1362
REGION1,DEMTRADSL,2039,390.9884
REGION1,DEMTRADSL,2040,370.3623
REGION1,DEMTRADSL,2041,349.9161
REGION1,DEMTRADSL,2042,330.7199
REGION1,DEMTRADSL,2043,312.5547
REGION1,DEMTRADSL,2044,295.3696
REGION1,DEMTRADSL,2045,279.1124
REGION1,DEMTRADSL,2046,263.7337
REGION1,DEMTRADSL,2047,249.1868
REGION1,DEMTRADSL,2048,235.4273
REGION1,DEMTRADSL,2049,222.4159
REGION1,DEMTRADSL,2050,210.1072
REGION1,DEMTRAGSL,2020,450.5355
REGION1,DEMTRAGSL,2021,421.5659
REGION1,DEMTRAGSL,2022,438.1486
REGION1,DEMTRAGSL,2023,532.0742
REGION1,DEMTRAGSL,2024,612.3925
REGION1,DEMTRAGSL,2025,680.6013
REGION1,DEMTRAGSL,2026,738.7654
REGION1,DEMTRAGSL,2027,787.542
REGION1,DEMTRAGSL,2028,826.5784
REGION1,DEMTRAGSL,2029,855.93
REGION1,DEMTRAGSL,2030,877.6623
REGION1,DEMTRAGSL,2031,819.2811
REGION1,DEMTRAGSL,2032,764.3464
REGION1,DEMTRAGSL,2033,710.6112
REGION1,DEMTRAGSL,2034,659.141
REGION1,DEMTRAGSL,2035,610.1618
REGION1,DEMTRAGSL,2036,563.6418
REGION1,DEMTRAGSL,2037,519.7335
REGION1,DEMTRAGSL,2038,478.3605
REGION1,DEMTRAGSL,2039,439.5299
REGION1,DEMTRAGSL,2040,403.4799
REGION1,DEMTRAGSL,2041,380.1335
REGION1,DEMTRAGSL,2042,350.7422
REGION1,DEMTRAGSL,2043,323.2917
REGION1,DEMTRAGSL,2044,297.6602
REGION1,DEMTRAGSL,2045,273.7367
REGION1,DEMTRAGSL,2046,251.4167
REGION1,DEMTRAGSL,2047,230.6017
REGION1,DEMTRAGSL,2048,211.1961
REGION1,DEMTRAGSL,2049,193.1184
REGION1,DEMTRAGSL,2050,176.2836
REGION1,DEMTRAHFO,2020,33.4253
REGION1,DEMTRAHFO,2021,31.1189
REGION1,DEMTRAHFO,2022,32.1423
REGION1,DEMTRAHFO,2023,38.8589
REGION1,DEMTRAHFO,2024,44.5885
REGION1,DEMTRAHFO,2025,49.5999
REGION1,DEMTRAHFO,2026,53.8982
REGION1,DEMTRAHFO,2027,57.5906
REGION1,DEMTRAHFO,2028,60.5741
REGION1,DEMTRAHFO,2029,62.8987
REGION1,DEMTRAHFO,2030,64.7579
REGION1,DEMTRAHFO,2031,60.8454
REGION1,DEMTRAHFO,2032,57.356
REGION1,DEMTRAHFO,2033,53.8731
REGION1,DEMTRAHFO,2034,50.6514
REGION1,DEMTRAHFO,2035,47.6145
REGION1,DEMTRAHFO,2036,44.8601
REGION1,DEMTRAHFO,2037,42.2601
REGION1,DEMTRAHFO,2038,39.855
REGION1,DEMTRAHFO,2039,37.6767
REGION1,DEMTRAHFO,2040,35.66
REGION1,DEMTRAHFO,2041,33.0672
REGION1,DEMTRAHFO,2042,31.0686
REGION1,DEMTRAHFO,2043,29.1815
REGION1,DEMTRAHFO,2044,27.4037
REGION1,DEMTRAHFO,2045,25.7325
REGION1,DEMTRAHFO,2046,24.155
REGION1,DEMTRAHFO,2047,22.6725
REGION1,DEMTRAHFO,2048,21.2735
REGION1,DEMTRAHFO,2049,19.9591
REGION1,DEMTRAHFO,2050,18.719
REGION1,DEMTRANGS,2020,3.9761
REGION1,DEMTRANGS,2021,4.2917
REGION1,DEMTRANGS,2022,5.7881
REGION1,DEMTRANGS,2023,7.8829
REGION1,DEMTRANGS,2024,10.2415
REGION1,DEMTRANGS,2025,12.9712
REGION1,DEMTRANGS,2026,15.9963
