r,t,y,NewCapacity
REGION1,DEMINDELCB02,2050,149.4249
REGION1,DEMINDNGS,2020,227.1313
REGION1,DEMINDNGS,2021,221.5354
REGION1,DEMINDNGS,2022,216.0808
REGION1,DEMINDNGS,2023,213.7677
REGION1,DEMINDNGS,2024,223.5758
REGION1,DEMINDNGS,2025,245.2828
REGION1,DEMINDNGS,2026,277.9091
REGION1,DEMINDNGS,2027,286.0303
REGION1,DEMINDNGS,2028,287.4848
REGION1,DEMINDNGS,2029,289.4546
REGION1,DEMINDNGS,2030,307.7778
REGION1,DEMINDNGS,2031,333.798
REGION1,DEMINDNGS,2032,350.0303
REGION1,DEMINDNGS,2033,348.8182
REGION1,DEMINDNGS,2034,347.9293
REGION1,DEMINDNGS,2035,348.0909
REGION1,DEMINDNGS,2036,348.0707
REGION1,DEMINDNGS,2037,347.7172
REGION1,DEMINDNGS,2038,347.7071
REGION1,DEMINDNGS,2039,347.9697
REGION1,DEMINDNGS,2040,348.303
REGION1,DEMINDNGS,2041,371.9747
REGION1,DEMINDNGS,2042,377.496
REGION1,DEMINDNGS,2043,383.0172
REGION1,DEMINDNGS,2044,388.5384
REGION1,DEMINDNGS,2045,394.0596
REGION1,DEMINDNGS,2046,399.5808
REGION1,DEMINDNGS,2047,405.102
REGION1,DEMINDNGS,2048,410.6232
REGION1,DEMINDNGS,2049,416.1444
REGION1,DEMINDNGS,2050,421.6657
REGION1,DEMPUBGWTBC1,2020,0.8586
REGION1,DEMPUBGWTBC1,2021,0.8687
REGION1,DEMPUBGWTBC1,2022,0.8687
REGION1,DEMPUBGWTBC1,2023,0.8788
REGION1,DEMPUBGWTBC1,2024,0.8889
REGION1,DEMPUBGWTBC1,2026,0.9091
REGION1,DEMPUBGWTBC1,2027,0.9192
REGION1,DEMPUBGWTBC1,2028,0.9293
REGION1,DEMPUBGWTBC1,2029,0.9394
REGION1,DEMPUBGWTBC1,2030,0.9495
REGION1,DEMPUBGWTBC1,2031,0.9596
REGION1,DEMPUBGWTBC1,2032,0.9697
REGION1,DEMPUBGWTBC1,2033,0.9899
REGION1,DEMPUBGWTBC1,2034,1.0
REGION1,DEMPUBGWTBC1,2035,1.0101
REGION1,DEMPUBGWTBC1,2036,1.0202
REGION1,DEMPUBGWTBC1,2037,1.0303
REGION1,DEMPUBGWTBC1,2038,1.0404
REGION1,DEMPUBGWTBC1,2039,1.0505
REGION1,DEMPUBGWTBC1,2040,1.0606
REGION1,DEMPUBGWTBC1,2041,1.0707
REGION1,DEMPUBGWTBC1,2042,1.0909
REGION1,DEMPUBGWTBC1,2043,1.101
REGION1,DEMPUBGWTBC1,2044,1.1111
REGION1,DEMPUBGWTBC1,2045,1.1212
REGION1,DEMPUBGWTBC1,2046,1.1313
REGION1,DEMPUBGWTBC1,2047,1.1515
REGION1,DEMPUBGWTBC1,2048,1.1616
REGION1,DEMPUBGWTBC1,2049,1.1717
REGION1,DEMPUBGWTBC1,2050,1.1818
REGION1,DEMPUBSURBC1,2025,0.899
