r,t,y,CapitalInvestment
REGION1,DEMCOMELCB02,2020,0.8233
REGION1,DEMCOMELCB02,2021,0.842
REGION1,DEMCOMELCB02,2022,0.8574
REGION1,DEMCOMELCB02,2023,0.8701
REGION1,DEMCOMELCB02,2024,0.8805
REGION1,DEMCOMELCB02,2025,0.8911
REGION1,DEMCOMELCB02,2026,0.9032
REGION1,DEMCOMELCB02,2027,0.9158
REGION1,DEMCOMELCB02,2028,0.926
REGION1,DEMCOMELCB02,2029,0.9372
REGION1,DEMCOMELCB02,2030,0.9478
REGION1,DEMCOMELCB02,2031,0.9559
REGION1,DEMCOMELCB02,2032,0.9639
REGION1,DEMCOMELCB02,2033,0.9737
REGION1,DEMCOMELCB02,2034,0.9801
REGION1,DEMCOMELCB02,2035,0.9861
REGION1,DEMCOMELCB02,2036,0.9922
REGION1,DEMCOMELCB02,2037,0.9977
REGION1,DEMCOMELCB02,2038,1.0045
REGION1,DEMCOMELCB02,2039,1.0105
REGION1,DEMCOMELCB02,2040,1.0169
REGION1,DEMCOMELCB02,2041,1.0251
REGION1,DEMCOMELCB02,2042,1.0319
REGION1,DEMCOMELCB02,2043,1.0387
REGION1,DEMCOMELCB02,2044,1.0455
REGION1,DEMCOMELCB02,2045,1.0522
REGION1,DEMCOMELCB02,2046,1.059
REGION1,DEMCOMELCB02,2047,1.0658
REGION1,DEMCOMELCB02,2048,1.0726
REGION1,DEMCOMELCB02,2049,1.0794
REGION1,DEMCOMELCB02,2050,1.0861
REGION1,DEMCOMKER,2020,0.1068
REGION1,DEMCOMKER,2021,0.1091
REGION1,DEMCOMKER,2022,0.1111
REGION1,DEMCOMKER,2023,0.1128
REGION1,DEMCOMKER,2024,0.1144
REGION1,DEMCOMKER,2025,0.116
REGION1,DEMCOMKER,2026,0.1177
REGION1,DEMCOMKER,2027,0.1195
REGION1,DEMCOMKER,2028,0.1215
REGION1,DEMCOMKER,2029,0.1235
REGION1,DEMCOMKER,2030,0.1254
REGION1,DEMCOMKER,2031,0.127
REGION1,DEMCOMKER,2032,0.1286
REGION1,DEMCOMKER,2033,0.13
REGION1,DEMCOMKER,2034,0.1315
REGION1,DEMCOMKER,2035,0.1329
REGION1,DEMCOMKER,2036,0.1342
REGION1,DEMCOMKER,2037,0.1354
REGION1,DEMCOMKER,2038,0.1365
REGION1,DEMCOMKER,2039,0.1374
REGION1,DEMCOMKER,2040,0.1384
REGION1,DEMCOMKER,2041,0.1434
REGION1,DEMCOMKER,2042,0.1453
REGION1,DEMCOMKER,2043,0.1472
REGION1,DEMCOMKER,2044,0.1491
REGION1,DEMCOMKER,2045,0.151
REGION1,DEMCOMKER,2046,0.1529
REGION1,DEMCOMKER,2047,0.1548
REGION1,DEMCOMKER,2048,0.1567
REGION1,DEMCOMKER,2049,0.1586
REGION1,DEMCOMKER,2050,0.1605
REGION1,DEMCOMNGS,2020,0.849
REGION1,DEMCOMNGS,2021,0.8495
REGION1,DEMCOMNGS,2022,0.8489
REGION1,DEMCOMNGS,2023,0.8496
REGION1,DEMCOMNGS,2024,0.8548
REGION1,DEMCOMNGS,2025,0.8653
REGION1,DEMCOMNGS,2026,0.8805
REGION1,DEMCOMNGS,2027,0.8944
REGION1,DEMCOMNGS,2028,0.9027
REGION1,DEMCOMNGS,2029,0.9133
REGION1,DEMCOMNGS,2030,0.9261
REGION1,DEMCOMNGS,2031,0.9417
REGION1,DEMCOMNGS,2032,0.9522
REGION1,DEMCOMNGS,2033,0.9594
REGION1,DEMCOMNGS,2034,0.966
REGION1,DEMCOMNGS,2035,0.9731
REGION1,DEMCOMNGS,2036,0.9793
REGION1,DEMCOMNGS,2037,0.9842
REGION1,DEMCOMNGS,2038,0.9892
REGION1,DEMCOMNGS,2039,0.9941
REGION1,DEMCOMNGS,2040,0.9992
REGION1,DEMCOMNGS,2041,1.0327
REGION1,DEMCOMNGS,2042,1.0431
REGION1,DEMCOMNGS,2043,1.0534
REGION1,DEMCOMNGS,2044,1.0638
REGION1,DEMCOMNGS,2045,1.0741
REGION1,DEMCOMNGS,2046,1.0845
REGION1,DEMCOMNGS,2047,1.0948
REGION1,DEMCOMNGS,2048,1.1052
REGION1,DEMCOMNGS,2049,1.1156
REGION1,DEMCOMNGS,2050,1.1259
REGION1,DEMINDBIO,2020,1.6166
REGION1,DEMINDBIO,2021,1.6231
REGION1,DEMINDBIO,2022,1.6275
REGION1,DEMINDBIO,2023,1.6346
REGION1,DEMINDBIO,2024,1.6428
REGION1,DEMINDBIO,2025,1.6378
REGION1,DEMINDBIO,2026,1.6356
REGION1,DEMINDBIO,2027,1.6345
REGION1,DEMINDBIO,2028,1.6331
REGION1,DEMINDBIO,2029,1.6271
REGION1,DEMINDBIO,2030,1.6193
REGION1,DEMINDBIO,2031,1.6093
REGION1,DEMINDBIO,2032,1.5978
REGION1,DEMINDBIO,2033,1.5848
REGION1,DEMINDBIO,2034,1.5696
REGION1,DEMINDBIO,2035,1.5566
REGION1,DEMINDBIO,2036,1.5432
REGION1,DEMINDBIO,2037,1.53
REGION1,DEMINDBIO,2038,1.5173
REGION1,DEMINDBIO,2039,1.5053
REGION1,DEMINDBIO,2040,1.4936
REGION1,DEMINDBIO,2041,1.4886
REGION1,DEMINDBIO,2042,1.4775
REGION1,DEMINDBIO,2043,1.4665
REGION1,DEMINDBIO,2044,1.4554
REGION1,DEMINDBIO,2045,1.4443
REGION1,DEMINDBIO,2046,1.4333
REGION1,DEMINDBIO,2047,1.4222
REGION1,DEMINDBIO,2048,1.4111
REGION1,DEMINDBIO,2049,1.4001
REGION1,DEMINDBIO,2050,1.389
REGION1,DEMINDDSL,2020,1.0956
REGION1,DEMINDDSL,2021,1.0922
REGION1,DEMINDDSL,2022,1.0846
REGION1,DEMINDDSL,2023,1.0803
REGION1,DEMINDDSL,2024,1.0841
REGION1,DEMINDDSL,2025,1.0924
REGION1,DEMINDDSL,2026,1.1056
REGION1,DEMINDDSL,2027,1.1175
REGION1,DEMINDDSL,2028,1.1239
REGION1,DEMINDDSL,2029,1.1241
REGION1,DEMINDDSL,2030,1.1251
REGION1,DEMINDDSL,2031,1.1278
REGION1,DEMINDDSL,2032,1.1325
REGION1,DEMINDDSL,2033,1.1338
REGION1,DEMINDDSL,2034,1.1344
REGION1,DEMINDDSL,2035,1.1358
REGION1,DEMINDDSL,2036,1.138
REGION1,DEMINDDSL,2037,1.1416
REGION1,DEMINDDSL,2038,1.1468
REGION1,DEMINDDSL,2039,1.1534
REGION1,DEMINDDSL,2040,1.1613
REGION1,DEMINDDSL,2041,1.1576
REGION1,DEMINDDSL,2042,1.1607
REGION1,DEMINDDSL,2043,1.1637
REGION1,DEMINDDSL,2044,1.1667
REGION1,DEMINDDSL,2045,1.1697
REGION1,DEMINDDSL,2046,1.1728
REGION1,DEMINDDSL,2047,1.1758
REGION1,DEMINDDSL,2048,1.1788
REGION1,DEMINDDSL,2049,1.1818
REGION1,DEMINDDSL,2050,1.1848
REGION1,DEMINDELCB02,2020,1.4609
REGION1,DEMINDELCB02,2021,1.4647
REGION1,DEMINDELCB02,2022,1.47
REGION1,DEMINDELCB02,2023,1.4784
REGION1,DEMINDELCB02,2024,1.5034
REGION1,DEMINDELCB02,2025,1.5339
REGION1,DEMINDELCB02,2026,1.5833
REGION1,DEMINDELCB02,2027,1.5827
REGION1,DEMINDELCB02,2028,1.576
REGION1,DEMINDELCB02,2029,1.5672
REGION1,DEMINDELCB02,2030,1.5834
REGION1,DEMINDELCB02,2031,1.6088
REGION1,DEMINDELCB02,2032,1.6316
REGION1,DEMINDELCB02,2033,1.6237
REGION1,DEMINDELCB02,2034,1.6078
REGION1,DEMINDELCB02,2035,1.5944
REGION1,DEMINDELCB02,2036,1.5824
REGION1,DEMINDELCB02,2037,1.572
REGION1,DEMINDELCB02,2038,1.5649
REGION1,DEMINDELCB02,2039,1.558
